simulator,experiment_folder,model,workload,wall_clock_seconds,exp_id,hardware,dp,cpu_offload,gpu_mem_util,precision,tp,max_num_batched_tokens
blis-evolved,2-codellama-34b-tp2-codegen,codellama/CodeLlama-34b-Instruct-hf,codegen,2.8170452499762177,2,H100,,True,0.9,FP16,2,2048
blis-evolved,3-codellama-34b-tp2-roleplay,codellama/CodeLlama-34b-Instruct-hf,roleplay,3.9933266669977456,3,H100,,True,0.9,FP16,2,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,2.71805450017564,6,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,4.041685374919325,7,H100,,True,0.9,FP16,4,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,4.424499124987051,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,2.84646795806475,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,11-mixtral-8x7b-tp2-roleplay,mistralai/Mixtral-8x7B-v0.1,roleplay,4.130751166958362,11,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,13-qwen3-14b-tp1-general-1,Qwen/Qwen3-14B,general,0.7679319169837981,13,H100,,False,0.9,FP16,1,2048
blis-evolved,14-qwen3-14b-tp1-codegen-1,Qwen/Qwen3-14B,codegen,0.5100301669444889,14,H100,,False,0.9,FP16,1,2048
blis-evolved,15-qwen3-14b-tp1-roleplay-1,Qwen/Qwen3-14B,roleplay,0.6092071658931673,15,H100,,False,0.9,FP16,1,2048
blis-evolved,16-llama-3-1-8b-tp1-general-1,meta-llama/Llama-3.1-8B-Instruct,general,0.7951278339605778,16,H100,,False,0.9,FP16,1,2048
blis-evolved,18-llama-3-1-8b-tp1-codegen-1,meta-llama/Llama-3.1-8B-Instruct,codegen,0.5164857499767095,18,H100,,False,0.9,FP16,1,2048
blis-evolved,19-llama-3-1-8b-tp1-roleplay-1,meta-llama/Llama-3.1-8B-Instruct,roleplay,0.6412724170368165,19,H100,,False,0.9,FP16,1,2048
blis-evolved,22-llama-3-1-8b-tp1-general-1,meta-llama/Llama-3.1-8B-Instruct,general,0.793335665948689,22,H100,,False,0.9,FP16,1,1024
blis-evolved,23-llama-3-1-8b-tp1-general-1,meta-llama/Llama-3.1-8B-Instruct,general,0.7925761248916388,23,H100,,False,0.9,FP16,1,8192
